row_number,test_short_name,test_full_name,date_sample_submitted,client_name,client_type,sample_type,site,sample_description_number_1,sample_description_number_2,sample_description_number_3,sample_description_number_4,analytical_company_name,lab_number,measurement_name,measurement_result
1,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Total Exchange Capacity (meq/100g),13.9
2,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,pH,7.3
3,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Organic Matter (%),4.6
4,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sulfur (ppm),62
5,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Phosphorus (ppm),125
6,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (ppm),2045
7,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (ppm),247
8,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (ppm),288
9,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (ppm),66
10,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (%),73.7
11,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (%),14.8
12,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (%),5.3
13,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (%),2.1
14,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Other Bases (%),4.1
15,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Hydrogen (%),0
16,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Boron (ppm),0.9
17,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Iron (ppm),418
